id,name,height_m,lat,lon,gridref,region
109,Buachaille Etive Mòr - Stob Dearg,1021.4,56.6462,-4.90059,NN222542,Loch Linnhe to Loch Etive
110,Ladhar Bheinn,1019.4,57.07501,-5.59091,NG824039,Knoydart to Glen Kingie
111,Aonach air Chrith,1019.4,57.12464,-5.22052,NH051083,Glen Shiel to Loch Hourn and Loch Quoich
112,Beinn Bheoil,1019.0,56.81355,-4.43012,NN517717,Loch Treig to Loch Ericht
113,Mullach Clach a' Bhlair,1019.0,57.01231,-3.84188,NN882927,Cairngorms
114,Càrn an Tuirc,1018.8,56.908,-3.35719,NO174804,Braemar to Montrose
115,Mullach Coire Mhic Fhearchair,1015.2,57.70941,-5.27064,NH052735,Loch Maree to Loch Broom
116,Garbh Chioch Mhòr,1012.9,57.00901,-5.44447,NM909961,Knoydart to Glen Kingie
117,Beinn Ìme,1012.2,56.23644,-4.81788,NN254084,Inveraray to Crianlarich
118,The Saddle,1011.4,57.16267,-5.41409,NG936131,Glen Shiel to Loch Hourn and Loch Quoich
119,Cairn Bannoch,1011.1,56.92769,-3.27903,NO222825,Braemar to Montrose
120,Beinn Udlamain,1010.2,56.83524,-4.32988,NN579739,Loch Ericht to Glen Tromie & Glen Garry
121,Beinn Eighe - Ruadh-stac Mòr,1010.0,57.59374,-5.42932,NG951611,Loch Torridon to Loch Maree
122,Sgurr an Doire Leathain,1010.0,57.13655,-5.28107,NH015098,Glen Shiel to Loch Hourn and Loch Quoich
123,Beinn Dearg (Blair Atholl),1008.7,56.8778,-3.88449,NN852778,Glen Tromie to Glen Tilt
124,Sgurr Eilde Mòr,1008.1,56.74969,-4.89548,NN230657,Fort William to Loch Treig & Loch Leven
125,The Devil's Point,1006.9,57.03604,-3.68814,NN976951,Cairngorms
126,An Sgarsoch,1006.5,56.93181,-3.7541,NN933836,Glen Tromie to Glen Tilt
127,Càrn Liath (Creag Meagaidh),1006.1,56.97903,-4.51496,NN472903,Loch Lochy to Loch Laggan
128,Maoile Lunndaidh,1004.9,57.46449,-5.11027,NH135458,Kyle of Lochalsh to Garve
129,Beinn Fhionnlaidh (Affric),1004.7,57.3058,-5.13007,NH115282,Loch Duich to Cannich
130,Sgurr an Lochain,1004.0,57.1415,-5.29805,NH005104,Glen Shiel to Loch Hourn and Loch Quoich
131,Sgurr Mor (Loch Quoich),1003.0,57.02855,-5.35397,NM965980,Knoydart to Glen Kingie
132,Beinn an Dothaidh,1002.3,56.52997,-4.71442,NN331408,Loch Rannoch to Glen Lyon
133,Beinn a' Bheithir - Sgorr Dhonuill,1002.1,56.6506,-5.19791,NN040555,Loch Linnhe to Loch Etive
134,Sgurr na Carnach,1002.0,57.1887,-5.34861,NG977158,Loch Duich to Cannich
135,Aonach Meadhoin,1001.9,57.17295,-5.22969,NH048137,Loch Duich to Cannich
136,Meall Greigh,1000.7,56.56783,-4.15877,NN674438,Glen Lyon to Glen Dochart & Loch Tay
137,Stob Bàn (Mamores),999.7,56.74377,-5.03079,NN147654,Fort William to Loch Treig & Loch Leven
138,Sgurr Breac,999.6,57.69235,-5.09119,NH158711,The Fannaichs
139,Sgurr Choinnich,999.3,57.45126,-5.20752,NH076446,Kyle of Lochalsh to Garve
140,Stob Daimh,999.2,56.43125,-5.09185,NN094308,Glen Etive to Glen Lochy
141,Sail Chaorainn,999.2,57.19173,-5.0906,NH133154,Glen Affric to Glen Moriston
142,Ben More Assynt,998.9,58.13819,-4.85787,NC318201,Scourie to Lairg
143,A' Chailleach (Fannaichs),998.6,57.69414,-5.12827,NH136714,The Fannaichs
144,Glas Bheinn Mhòr,997.7,56.54216,-5.00489,NN153429,Glen Etive to Glen Lochy
145,Broad Cairn,997.1,56.91901,-3.24917,NO240815,Braemar to Montrose
146,An Caisteal,995.9,56.33866,-4.62475,NN378193,Loch Lomond to Strathyre
147,Spidean Mialach,995.9,57.08936,-5.19434,NH065043,Glen Shiel to Loch Hourn and Loch Quoich
148,Sgurr na h-Ulaidh,994.0,56.61943,-5.07951,NN111517,Loch Linnhe to Loch Etive
149,Carn an Fhidhleir,994.0,56.93562,-3.80194,NN904841,Glen Tromie to Glen Tilt
150,Sgurr na Ruaidhe,993.0,57.44185,-4.85165,NH289426,Kyle of Lochalsh to Garve
151,Beinn Eighe - Spidean Coire nan Clach,993.0,57.58187,-5.4031,NG966597,Loch Torridon to Loch Maree
152,Càrn nan Gobhar (Mullardoch),992.3,57.3632,-5.02518,NH181343,Killilan to Inverness
153,Sgùrr Alasdair,992.0,57.20635,-6.22333,NG450207,Minginish and the Cuillin Hills
154,Càrn nan Gobhar (Strathfarrar),992.0,57.45201,-4.87912,NH273438,Kyle of Lochalsh to Garve
155,Sgairneach Mhòr,991.4,56.82863,-4.29833,NN598731,Loch Ericht to Glen Tromie & Glen Garry
156,Beinn Eunaich,990.3,56.44994,-5.02682,NN135327,Glen Etive to Glen Lochy
157,Sgurr Bàn (Fisherfield),989.0,57.71851,-5.26643,NH055745,Loch Maree to Loch Broom
158,Creag Leacach,988.2,56.85465,-3.38805,NO154745,Braemar to Montrose
159,Conival,987.6,58.13583,-4.88317,NC303199,Scourie to Lairg
160,Lurg Mhòr,987.5,57.41309,-5.22417,NH064404,Kyle of Lochalsh to Garve
161,Beinn Alligin - Sgùrr Mhòr,986.0,57.59066,-5.573,NG865612,Loch Torridon to Loch Maree
162,Sgùrr Dearg (Inaccessible Pinnacle),985.8,57.21318,-6.23406,NG444215,Minginish and the Cuillin Hills
163,Ben Vorlich (Loch Earn),985.3,56.343,-4.21887,NN629189,Strathyre to Strathallan
164,Druim Shionnach,985.2,57.12651,-5.18267,NH074084,Glen Shiel to Loch Hourn and Loch Quoich
165,Gulvain,983.2,56.936,-5.2848,NN002875,Mallaig to Fort William
166,Meall nan Aighean,982.1,56.62046,-4.12918,NN694496,Loch Rannoch to Glen Lyon
167,Mullach na Dheiragain,982.0,57.28372,-5.18628,NH080259,Loch Duich to Cannich
168,An Gearanach,981.5,56.7588,-4.96655,NN187669,Fort William to Loch Treig & Loch Leven
169,Beinn a' Chochuill,981.3,56.4498,-5.06901,NN109328,Glen Etive to Glen Lochy
170,Stob Coire a' Chairn,981.3,56.75065,-4.96918,NN185660,Fort William to Loch Treig & Loch Leven
171,Slioch,981.2,57.66696,-5.34733,NH004690,Loch Maree to Loch Broom
172,Ciste Dhubh,981.1,57.19955,-5.20883,NH062166,Loch Duich to Cannich
173,Maol Chinn-dearg,980.3,57.12742,-5.25217,NH032087,Glen Shiel to Loch Hourn and Loch Quoich
174,Stob Coire Sgriodain,979.1,56.83147,-4.69522,NN356743,Loch Treig to Loch Ericht
175,Beinn Dubhchraig,978.6,56.39092,-4.7434,NN307254,Inveraray to Crianlarich
176,Cona' Mheall,977.8,57.79118,-4.90273,NH275816,Loch Broom to Strath Oykel
177,Stob Bàn (Grey Corries),977.0,56.81026,-4.84116,NN266723,Fort William to Loch Treig & Loch Leven
178,Meall nan Ceapraichean,976.8,57.79856,-4.93363,NH257825,Loch Broom to Strath Oykel
179,Càrn a' Gheoidh,976.1,56.87353,-3.46587,NO107767,Pitlochry to Braemar & Blairgowrie
180,Beinn a' Ghlò - Càrn Liath,975.8,56.80797,-3.74339,NN936698,Pitlochry to Braemar & Blairgowrie
181,Beinn Sgritheall,974.0,57.15353,-5.58032,NG835126,Glen Shiel to Loch Hourn and Loch Quoich
182,Ben Lomond,973.7,56.1902,-4.63233,NN367028,Loch Lomond to Strathyre
183,A' Mharconaich,973.2,56.85664,-4.29021,NN604762,Loch Ericht to Glen Tromie & Glen Garry
184,Stuc a' Chroin,973.0,56.32919,-4.23748,NN617174,Strathyre to Strathallan
185,Sgurr a' Ghreadaidh,972.1,57.22757,-6.23405,NG445231,Minginish and the Cuillin Hills
186,Aonach Eagach - Sgorr nam Fiannaidh,967.7,56.6798,-5.03708,NN140583,Loch Leven to Rannoch Station
187,Meall Garbh (Carn Mairg),967.5,56.63708,-4.20676,NN647516,Loch Rannoch to Glen Lyon
188,Sgùrr nan Gillean,966.1,57.24872,-6.19335,NG471253,Minginish and the Cuillin Hills
189,Ben More (Mull),966.0,56.42458,-6.01444,NM525330,Mull and Nearby Islands
190,A' Mhaighdean,965.8,57.71999,-5.34719,NH007749,Loch Maree to Loch Broom
191,Sgurr na Banachdaich,965.5,57.22102,-6.24159,NG440224,Minginish and the Cuillin Hills
192,Càrn a' Chlamain,963.5,56.86136,-3.78032,NN915758,Glen Tromie to Glen Tilt
